name,company,seriesColor,ticker,radialColumn,change,xAxisColumn,yAxisColumn,
Robert A. Iger ,Walt Disney ,Consumer Cyclical,DIS,65.6,0.81,1424,59.4,
Michelle Gass ,Kohl's ,Consumer Cyclical,KSS,12.3,n/a,1115,20.2,
Kevin R. Johnson ,Starbucks ,Consumer Cyclical,SBUX,13.4,n/a,1049,24.7,
Raymond E. Scott ,Lear ,Consumer Cyclical,LEA,9.9,n/a,987,21.1,
Arnold W. Donald ,Carnival ,Consumer Cyclical,CCL,13.5,0.04,813,18.9,
James R. Murdoch ,Twenty-First Century Fox ,Consumer Cyclical,FOXA,44.4,1.25,741,30.4,
Marc R. Bitzer ,Whirlpool ,Consumer Cyclical,WHR,11.7,n/a,578,21,
Mark G. Parker ,Nike ,Consumer Cyclical,NKE,9.5,-0.32,379,36.4,
James P. Hackett ,Ford ,Consumer Cyclical,F,17.8,n/a,276,160.3,
Michael Jackson ,AutoNation ,Consumer Cyclical,AN,12.5,0.02,222,21.4,
Richard Beckwitt ,Lennar ,Consumer Cyclical,LEN,17.6,n/a,199,20.6,
Roger S. Penske ,Penske Automotive Group ,Consumer Cyclical,PAG,6.8,0,168,22.8,
Paul D. Donahue ,Genuine Parts ,Consumer Cyclical,GPC,4.5,0.2,138,18.7,
