name,company,seriesColor,ticker,radialColumn,change,xAxisColumn,yAxisColumn,
James R. Quincey ,Coca Cola ,Consumer Defensive,KO,16.4,n/a,1016,31.9,31856
Andre Calantzopoulos ,Philip Morris International ,Consumer Defensive,PM,15.6,-0.04,843,29.6,29625
Ramon Laguarta ,PepsiCo ,Consumer Defensive,PEP,9.7,n/a,545,64.7,64661
Dirk Van de Put ,Mondelez International ,Consumer Defensive,MDLZ,15.0,n/a,489,25.9,25938
Stefano Pessina ,Walgreens Boots Alliance ,Consumer Defensive,WBA,13.5,-0.08,435,131.5,131537
Juan Luciano ,Archer Daniels Midland ,Consumer Defensive,ADM,19.6,0.24,385,64.3,64341
Thomas J. Falk ,Kimberly Clark ,Consumer Defensive,KMB,13.0,-0.03,355,18.5,18486
David S. Taylor ,Procter & Gamble ,Consumer Defensive,PG,17.4,-0.04,287,66.8,66832
Thomas P. Hayes ,Tyson Foods ,Consumer Defensive,TSN,9.0,n/a,256,40.1,40052
W. Craig Jelinek ,Costco Wholesale ,Consumer Defensive,COST,7.3,0.12,191,141.6,141576
Thomas L. Bene ,Sysco ,Consumer Defensive,SYY,8.8,n/a,127,58.7,58727
Pietro Satriano ,US Foods Holding ,Consumer Defensive,USFD,8.6,0.06,110,24.2,24175
George L. Holm ,Performance Food Group ,Consumer Defensive,PFGC,5.2,-0.21,73,17.6,17620
