name,company,seriesColor,ticker,radialColumn,change,xAxisColumn,yAxisColumn,
Ronald E. Armstrong ,PACCAR ,Industrials,PCAR,7.5,n/a,n/a,23.496,23496
Jonas Prising ,ManpowerGroup ,Industrials,MAN,11.4,-0.05,2508,21.991,21991
Dennis Polk ,Synnex ,Industrials,SNX,7.2,n/a,1562,20.054,20054
H. Lawrence Culp Jr.,General Electric ,Industrials,GE,15.3,n/a,345,121.615,121615
Frederick W. Smith ,Fedex ,Industrials,FDX,16.7,0.07,333,65.45,65450
George R. Oliver ,Johnson Controls International ,Industrials,JCI,15.4,n/a,310,31.4,31400
Michael F. Roman ,3M ,Industrials,MMM,9.8,n/a,302,32.765,32765
Darius Adamczyk ,Honeywell International ,Industrials,HON,18.7,n/a,288,41.802,41802
David P. Abney ,United Parcel Service ,Industrials,UPS,13.7,0.12,272,71.861,71861
Craig Arnold ,Eaton ,Industrials,ETN,12.5,0.1,264,21.609,21609
Gregory J. Hayes ,United Technologies ,Industrials,UTX,17.6,0.12,257,66.501,66501
Samuel R. Allen ,Deere ,Industrials,DE,18.2,0.23,243,37.358,37358
Phebe N. Novakovic ,General Dynamics ,Industrials,GD,20.7,-0.02,240,36.193,36193
Wesley G. Bush ,Northrop Grumman ,Industrials,NOC,17.3,0.07,230,30.095,30095
Michael S. Burke ,Aecom ,Industrials,ACM,15.7,-0.06,200,20.156,20156
Marillyn A. Hewson ,Lockheed Martin ,Industrials,LMT,21.5,0.07,191,53.762,53762
Dennis A. Muilenburg ,Boeing ,Industrials,BA,23.4,0.38,184,101.127,101127
David T. Seaton ,Fluor ,Industrials,FLR,12.7,0.24,180,19.167,19167
