name,seriesColor,company,xAxisColumn,radialColumn,yAxisColumn,comp,,,,,,,,,,
Ronald E. Armstrong,,PACCAR ,0,7.499601,23.496,7.5,,,,,,,,,,7.5
Jonas Prising,,ManpowerGroup ,2508,11.44401,21.991,11.4,,,,,,,,,,11.4
Mark T. Mondello,,Jabil ,2238,11.396365,22.095,11.4,,,,,,,,,,11.4
Stephen D. Milligan,,Western Digital ,1795,17.121474,20.647,17.1,,,,,,,,,,17.1
Dennis Polk,,Synnex ,1562,7.174297,20.054,7.2,,,,,,,,,,7.2
Robert A. Iger,,Walt Disney ,1424,65.645214,59.434,65.6,,,,,,,,,,65.6
Pierre Nanterme,,Accenture ,1222,22.299174,41.603,22.3,,,,,,,,,,22.3
Mark V. Hurd,,Oracle ,1205,108.295023,39.831,108.3,,,,,,,,,,108.3
Safra A. Catz,,Oracle ,1205,108.282333,39.831,108.3,,,,,,,,,,108.3
Michelle Gass,,Kohl's ,1115,12.340445,20.229,12.3,,,,,,,,,,12.3
Kevin R. Johnson,,Starbucks ,1049,13.38248,24.72,13.4,,,,,,,,,,13.4
James R. Quincey,,Coca Cola ,1016,16.384123,31.856,16.4,,,,,,,,,,16.4
Raymond E. Scott,,Lear ,987,9.936305,21.149,9.9,,,,,,,,,,9.9
Andre Calantzopoulos,,Philip Morris International ,843,15.648637,29.625,15.6,,,,,,,,,,15.6
Arnold W. Donald,,Carnival ,813,13.506884,18.881,13.5,,,,,,,,,,13.5
James R. Murdoch,,Twenty-First Century Fox ,741,44.415365,30.4,44.4,,,,,,,,,,44.4
Gary R. Heminger,,Marathon Petroleum ,714,18.874797,97.102,18.9,,,,,,,,,,18.9
Marc R. Bitzer,,Whirlpool ,578,11.657583,21.037,11.7,,,,,,,,,,11.7
Ramon Laguarta,,PepsiCo ,545,9.694978,64.661,9.7,,,,,,,,,,9.7
Dirk Van de Put,,Mondelez International ,489,14.9699,25.938,15,,,,,,,,,,15.0
Michael L. Corbat,,Citigroup ,486,24.179166,65.5,24.2,,,,,,,,,,24.2
Stefano Pessina,,Walgreens Boots Alliance ,435,13.54226,131.537,13.5,,,,,,,,,,13.5
Michael F. Neidorff,,Centene ,396,26.122414,60.116,26.1,,,,,,,,,,26.1
Juan Luciano,,Archer Daniels Midland ,385,19.603616,64.341,19.6,,,,,,,,,,19.6
R. Milton Johnson,,HCA Healthcare ,383,20.072898,46.677,20.1,,,,,,,,,,20.1
Mark G. Parker,,Nike ,379,9.46746,36.397,9.5,,,,,,,,,,9.5
Thomas J. Falk,,Kimberly Clark ,355,13.010083,18.486,13,,,,,,,,,,13.0
H. Lawrence Culp Jr,,General Electric ,345,15.312165,121.615,15.3,,,,,,,,,,15.3
Frederick W. Smith,,Fedex ,333,16.665398,65.45,16.7,,,,,,,,,,16.7
Daniel P. Amos,,Aflac ,332,15.368527,21.758,15.4,,,,,,,,,,15.4
Virginia M. Rometty,,IBM ,319,17.552218,79.591,17.6,,,,,,,,,,17.6
George R. Oliver,,Johnson Controls International ,310,15.393868,31.4,15.4,,,,,,,,,,15.4
Stephen J. Squeri,,American Express ,306,17.340684,36.986,17.3,,,,,,,,,,17.3
Randall L. Stephenson,,AT&T ,304,25.600312,170.756,25.6,,,,,,,,,,25.6
Michael F. Roman,,3M ,302,9.843753,32.765,9.8,,,,,,,,,,9.8
Miles D. White,,Abbott Laboratories ,301,22.872393,30.578,22.9,,,,,,,,,,22.9
David M. Cordani,,Cigna ,298,18.944045,48.65,18.9,,,,,,,,,,18.9
Darius Adamczyk,,Honeywell International ,288,18.651522,41.802,18.7,,,,,,,,,,18.7
David S. Taylor,,Procter & Gamble ,287,17.354256,66.832,17.4,,,,,,,,,,17.4
Tim D. Cook,,Apple ,283,15.682219,265.595,15.7,,,,,,,,,,15.7
Timothy J. Sloan,,Wells Fargo ,283,18.419306,84.696,18.4,,,,,,,,,,18.4
Michael J. Long,,Arrow Electronics ,281,15.339932,29.677,15.3,,,,,,,,,,15.3
Ron Rittenmeyer,,Tenet Healthcare ,277,14.984021,18.313,15,,,,,,,,,,15.0
James P. Hackett,,Ford ,276,17.752835,160.338,17.8,,,,,,,,,,17.8
David P. Abney,,United Parcel Service ,272,13.749158,71.861,13.7,,,,,,,,,,13.7
Alex Gorsky,,Johnson & Johnson ,268,20.097572,81.581,20.1,,,,,,,,,,20.1
Craig Arnold,,Eaton ,264,12.465976,21.609,12.5,,,,,,,,,,12.5
Richard D. Fairbank,,Capital One Financial ,258,17.328902,22.22,17.3,,,,,,,,,,17.3
Gregory J. Hayes,,United Technologies ,257,17.588971,66.501,17.6,,,,,,,,,,17.6
Charles F. Lowrey,,Prudential Financial ,256,9.695633,62.992,9.7,,,,,,,,,,9.7
Thomas P. Hayes,,Tyson Foods ,256,9.03515,40.052,9,,,,,,,,,,9.0
Sanjay Mehrotra,,Micron Technology ,252,14.241583,30.391,14.2,,,,,,,,,,14.2
Brian T. Moynihan,,Bank of America ,247,22.434351,88.694,22.4,,,,,,,,,,22.4
Ian Read,,Pfizer ,244,19.549213,53.647,19.5,,,,,,,,,,19.5
Samuel R. Allen,,Deere ,243,18.239151,37.358,18.2,,,,,,,,,,18.2
Dion J. Weisler,,HP ,241,19.215534,58.472,19.2,,,,,,,,,,19.2
Phebe N. Novakovic,,General Dynamics ,240,20.720254,36.193,20.7,,,,,,,,,,20.7
Steven Mollenkopf,,Qualcomm ,233,19.975472,22.732,20,,,,,,,,,,20.0
Joseph M. Zubretsky,,Molina Healthcare ,232,15.21977,18.89,15.2,,,,,,,,,,15.2
Bruce D. Broussard,,Humana ,231,16.312517,56.912,16.3,,,,,,,,,,16.3
Wesley G. Bush,,Northrop Grumman ,230,17.261091,30.095,17.3,,,,,,,,,,17.3
Andrew Cecere,,US Bancorp ,230,11.068003,20.813,11.1,,,,,,,,,,11.1
Susan P. Griffith,,Progressive ,225,14.172925,31.979,14.2,,,,,,,,,,14.2
Michael Jackson,,AutoNation ,222,12.472579,21.413,12.5,,,,,,,,,,12.5
Michael C. Kaufmann,,Cardinal Health ,221,8.42358,136.809,8.4,,,,,,,,,,8.4
Paal Kibsgaard,,Schlumberger ,216,15.185123,32.815,15.2,,,,,,,,,,15.2
Thomas P. Joyce Jr,,Danaher ,209,15.361041,19.893,15.4,,,,,,,,,,15.4
Lorenzo Simonelli,,Baker Hughes ,207,15.590514,22.877,15.6,,,,,,,,,,15.6
Steven H. Collis,,AmerisourceBergen ,203,11.514115,167.94,11.5,,,,,,,,,,11.5
Michael S. Burke,,Aecom ,200,15.666319,20.156,15.7,,,,,,,,,,15.7
Richard Beckwitt,,Lennar ,199,17.583466,20.572,17.6,,,,,,,,,,17.6
Hans Vestberg,,Verizon Communications ,198,22.206086,130.863,22.2,,,,,,,,,,22.2
Gail K. Boudreaux,,Anthem ,196,14.184276,92.105,14.2,,,,,,,,,,14.2
Antonio F. Neri,,Hewlett Packard Enterprise ,192,12.621288,30.852,12.6,,,,,,,,,,12.6
W. Craig Jelinek,,Costco Wholesale ,191,7.300625,141.576,7.3,,,,,,,,,,7.3
Marillyn A. Hewson,,Lockheed Martin ,191,21.516545,53.762,21.5,,,,,,,,,,21.5
David A. Ricks,,Eli Lilly ,189,15.701,24.556,15.7,,,,,,,,,,15.7
Dennis A. Muilenburg,,Boeing ,184,23.392187,101.127,23.4,,,,,,,,,,23.4
David T. Seaton,,Fluor ,180,12.673601,19.167,12.7,,,,,,,,,,12.7
Roger S. Penske,,Penske Automotive Group ,168,6.824351,22.785,6.8,,,,,,,,,,6.8
Charles H. Robbins,,Cisco Systems ,160,21.284339,49.33,21.3,,,,,,,,,,21.3
John F. Milligan,,Gilead Sciences ,158,16.774183,22.127,16.8,,,,,,,,,,16.8
Satya Nadella,,Microsoft ,154,25.843263,110.36,25.8,,,,,,,,,,25.8
David M. Solomon,,Goldman Sachs ,151,20.662835,35.942,20.7,,,,,,,,,,20.7
Thomas M. Rutledge,,Charter Communications ,147,8.157264,43.634,8.2,,,,,,,,,,8.2
John J. Ferriola,,Nucor ,147,15.559469,25.067,15.6,,,,,,,,,,15.6
Alfred Kelly,,Visa ,147,19.493946,20.609,19.5,,,,,,,,,,19.5
Richard A. Gonzalez,,AbbVie ,143,20.808664,32.753,20.8,,,,,,,,,,20.8
Paul D. Donahue,,Genuine Parts ,138,4.46983,18.735,4.5,,,,,,,,,,4.5
William J. Amelio,,Avnet ,136,7.129757,19.037,7.1,,,,,,,,,,7.1
Thomas L. Bene,,Sysco ,127,8.770339,58.727,8.8,,,,,,,,,,8.8
Christopher M. Crane,,Exelon ,126,13.908491,35.985,13.9,,,,,,,,,,13.9
Joseph W. Gorder,,Valero Energy ,122,17.405377,111.407,17.4,,,,,,,,,,17.4
Lynn J. Good,,Duke Energy ,119,13.794367,24.521,13.8,,,,,,,,,,13.8
Vicki Hollub,,Occidental Petroleum ,114,14.105693,18.934,14.1,,,,,,,,,,14.1
Pietro Satriano,,US Foods Holding ,110,8.607146,24.175,8.6,,,,,,,,,,8.6
Greg Garland,,Phillips 66 ,98,19.278335,114.217,19.3,,,,,,,,,,19.3
George J. Damiris,,HollyFrontier ,82,11.350368,17.715,11.4,,,,,,,,,,11.4
George L. Holm,,Performance Food Group ,73,5.160286,17.62,5.2,,,,,,,,,,5.2
Hock E. Tan,,Broadcom ,25,5.042937,20.848,5,,,,,,,,,,5.0
Warren E. Buffett,,Berkshire Hathaway ,7,0.388968,247.537,0.4,,,,,,,,,,0.4
